Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,Humidity,Fertilizer
Loamy,Wheat,34,80,48,7.7,60.0,34.8,70.7,Urea
Loamy,Chickpea,95,76,78,6.8,57.9,32.0,49.6,17-17-17
Red,Millets,12,17,89,5.7,44.6,26.9,84.2,28-28-0
Clayey,Chickpea,73,71,51,7.8,55.9,33.2,41.4,17-17-17
Clayey,Chickpea,58,78,71,8.0,63.9,33.5,48.9,Urea
Loamy,Cotton,35,30,26,7.9,30.7,27.5,73.1,14-35-14
Loamy,Wheat,99,63,58,8.2,51.9,20.5,51.7,17-17-17
Red,Sugarcane,50,18,48,5.8,42.0,29.6,71.7,DAP
Red,Cotton,110,39,99,6.9,53.3,25.6,69.6,DAP
Black,Wheat,100,56,24,5.9,27.9,32.0,80.3,10-26-26
Clayey,Millets,48,10,54,7.8,32.9,29.0,61.8,DAP
Red,Sugarcane,49,75,84,5.9,27.0,27.5,74.6,Urea
Black,Groundnut,115,40,11,5.8,39.7,20.7,67.9,10-26-26
Sandy,Chickpea,42,78,84,7.6,73.4,31.3,53.6,Urea
Loamy,Sugarcane,22,68,81,5.5,57.8,30.5,42.8,Urea
Sandy,Wheat,29,70,22,6.2,67.7,20.9,65.8,10-26-26
Black,Wheat,53,90,17,5.7,57.6,29.2,84.7,10-26-26
Loamy,Groundnut,23,67,96,6.1,31.2,32.4,61.7,Urea
Black,Pulses,18,89,67,5.5,55.8,34.7,78.7,Urea
Black,Millets,80,51,9,7.6,56.9,28.1,71.1,10-26-26
Black,Groundnut,99,17,82,8.2,64.7,30.1,46.9,DAP
Sandy,Rice,62,10,93,7.9,41.0,28.0,41.5,DAP
Red,Cotton,13,67,76,6.4,67.4,27.1,47.9,Urea
Sandy,Rice,88,54,52,7.8,70.6,37.0,56.4,DAP
Red,Millets,18,10,99,7.8,61.6,30.0,84.4,28-28-0
Loamy,Rice,93,99,63,5.8,61.7,37.5,67.2,17-17-17
Loamy,Wheat,10,93,27,7.3,54.7,34.9,47.1,Urea
Clayey,Cotton,12,65,12,7.9,32.4,21.9,49.3,10-26-26
Loamy,Millets,26,91,44,8.1,44.5,25.6,60.8,Urea
Black,Groundnut,84,66,97,7.2,37.3,34.1,81.9,17-17-17
Clayey,Groundnut,9,68,54,7.4,41.1,30.2,55.3,Urea
Red,Groundnut,93,89,13,8.4,57.7,23.5,68.7,10-26-26
Black,Groundnut,97,24,37,6.7,55.4,29.9,70.5,DAP
Red,Pulses,111,77,93,6.5,57.2,25.9,72.4,17-17-17
Clayey,Millets,48,54,21,6.6,59.8,30.0,40.5,10-26-26
Loamy,Chickpea,67,80,57,7.4,52.9,31.6,70.6,17-17-17
Sandy,Wheat,83,80,65,8.2,71.6,37.6,44.9,17-17-17
Loamy,Rice,77,63,73,6.7,51.6,35.3,65.2,17-17-17
Loamy,Groundnut,17,31,74,5.7,29.2,25.2,56.5,28-28-0
Loamy,Sugarcane,96,91,72,7.9,59.2,30.8,53.2,17-17-17
Black,Cotton,11,75,54,5.8,53.2,29.3,57.2,Urea
Clayey,Cotton,54,84,85,7.1,26.1,24.4,65.2,Urea
Sandy,Sugarcane,22,70,52,6.8,31.9,31.4,84.3,Urea
Black,Pulses,12,14,52,8.5,46.6,28.8,63.3,28-28-0
Black,Groundnut,22,27,66,8.4,53.8,20.7,54.2,28-28-0
Black,Groundnut,20,74,70,6.7,63.7,36.6,78.4,Urea
Sandy,Sugarcane,33,41,47,6.3,67.9,36.7,56.4,Urea
